UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,CLEANBREED,,,,,,
8140,December 02 2015,DOG,Pug,7,F,TRUE,Staten Island,,PUG,,,,,,
1,January 27 2015,DOG,Jack Russ,11,M,FALSE,Brooklyn,11217,JACK RUSS,,,,,,
2,January 25 2015,DOG,"Mastiff, Bull",,U,FALSE,Brooklyn,,"MASTIFF, BULL",,,,,,
3,January 20 2015,DOG,PIT BULL MIX,,U,FALSE,Brooklyn,11236,PIT BULL MIX,,,,,,
4,December 26 2014,DOG,Doberman Pinscher,,M,FALSE,Brooklyn,11204,DOBERMAN PINSCHER,,,,,,
5,January 29 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
6,January 31 2015,DOG,CHIHUAHUA MIX,3,M,FALSE,Brooklyn,,CHIHUAHUA MIX,,,,,,
7,January 31 2015,DOG,SHEPHERD MIX,,F,FALSE,Brooklyn,11220,SHEPHERD MIX,,,,,,
8,January 23 2015,DOG,German Shepherd,4,M,FALSE,Brooklyn,11229,GERMAN SHEPHERD,,,,,,
9,February 04 2015,DOG,Pomeranian,1,F,FALSE,Brooklyn,11216,POMERANIAN,,,,,,
10,February 05 2015,DOG,Dalmatian,10,M,TRUE,Brooklyn,11214,DALMATIAN,,,,,,
11,February 01 2015,DOG,Rottweiler,,U,FALSE,Brooklyn,11204,ROTTWEILER,,,,,,
12,February 04 2015,DOG,Rottweiler,,U,FALSE,Brooklyn,11220,ROTTWEILER,,,,,,
13,February 06 2015,DOG,Shiba Inu,3,M,FALSE,Brooklyn,11252,SHIBA INU,,,,,,
14,February 07 2015,DOG,Maltese,,U,FALSE,Brooklyn,11215,MALTESE,,,,,,
15,February 07 2015,DOG,Pit Bull,5,M,TRUE,Brooklyn,11214,PIT BULL,,,,,,
16,February 06 2015,DOG,Dachshund Smooth Coat,,U,FALSE,Brooklyn,,DACHSHUND SMOOTH COAT,,,,,,
17,January 27 2015,DOG,"Poodle, Standard",,U,FALSE,Brooklyn,11214,"POODLE, STANDARD",,,,,,
18,February 10 2015,DOG,"Welsh Corgi, Pembroke",,U,FALSE,Brooklyn,11204,"WELSH CORGI, PEMBROKE",,,,,,
19,February 07 2015,DOG,Shiba Inu,,M,FALSE,Brooklyn,11206,SHIBA INU,,,,,,
20,February 07 2015,DOG,RAT TERRIER,5,M,TRUE,Brooklyn,11208,RAT TERRIER,,,,,,
21,January 27 2015,DOG,Pit Bull,2,M,FALSE,Brooklyn,11228,PIT BULL,,,,,,
22,February 11 2015,DOG,Staffordshire Bull Terrier,4,M,FALSE,Brooklyn,11235,STAFFORDSHIRE BULL TERRIER,,,,,,
23,February 11 2015,DOG,RAT TERRIER,13,F,TRUE,Brooklyn,11209,RAT TERRIER,,,,,,
24,February 09 2015,DOG,Pit Bull,10,F,TRUE,Brooklyn,11232,PIT BULL,,,,,,
25,February 12 2015,DOG,German Shepherd,4,M,FALSE,Brooklyn,11229,GERMAN SHEPHERD,,,,,,
26,February 12 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11237,PIT BULL,,,,,,
27,February 14 2015,DOG,Akita,,M,FALSE,Brooklyn,11237,AKITA,,,,,,
28,February 15 2015,DOG,BULL DOG MIX,,M,FALSE,Brooklyn,11234,BULL DOG MIX,,,,,,
29,February 15 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11234,PIT BULL,,,,,,
30,February 13 2015,DOG,Pit Bull,4,M,TRUE,Brooklyn,11221,PIT BULL,,,,,,
31,February 17 2015,DOG,Chihuahua,,U,FALSE,Brooklyn,11218,CHIHUAHUA,,,,,,
32,February 15 2015,DOG,PIT BULL MIX,1,M,FALSE,Brooklyn,11207,PIT BULL MIX,,,,,,
33,February 12 2015,DOG,"Mastiff, Old English",,U,FALSE,Brooklyn,11231,"MASTIFF, OLD ENGLISH",,,,,,
34,February 18 2015,DOG,Yorkshire Terrier,3,M,FALSE,Brooklyn,11233,YORKSHIRE TERRIER,,,,,,
35,February 17 2015,DOG,Pit Bull,5,M,FALSE,Brooklyn,11207,PIT BULL,,,,,,
36,February 19 2015,DOG,SPRINGER SPANIEL,7,U,TRUE,Brooklyn,11213,SPRINGER SPANIEL,,,,,,
37,February 21 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11217,PIT BULL,,,,,,
38,February 06 2015,DOG,Shiba Inu,3,M,FALSE,Brooklyn,,SHIBA INU,,,,,,
39,February 12 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11224,PIT BULL,,,,,,
40,February 22 2015,DOG,Pit Bull,10,M,TRUE,Brooklyn,11235,PIT BULL,,,,,,
41,February 24 2015,DOG,Pit Bull,1,F,FALSE,Brooklyn,11215,PIT BULL,,,,,,
42,February 24 2015,DOG,Pit Bull,10,F,TRUE,Brooklyn,11210,PIT BULL,,,,,,
43,February 24 2015,DOG,WESTIE,,U,FALSE,Brooklyn,11234,WESTIE,,,,,,
44,February 22 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
45,February 21 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11231,PIT BULL,,,,,,
46,February 26 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11206,PIT BULL,,,,,,
47,February 22 2015,DOG,FOX HOUND,3,F,TRUE,Brooklyn,11209,FOX HOUND,,,,,,
48,February 23 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
49,February 26 2015,DOG,Pit Bull,1,M,FALSE,Brooklyn,11226,PIT BULL,,,,,,
50,February 28 2015,DOG,Weimaraner,1900-01-11T00:00:00.000,M,TRUE,Brooklyn,11230,WEIMARANER,,,,,,
51,February 26 2015,DOG,German Shepherd,,U,FALSE,Brooklyn,11220,GERMAN SHEPHERD,,,,,,
52,February 01 2015,DOG,Rottweiler,,U,FALSE,Brooklyn,11215,ROTTWEILER,,,,,,
